CODIGO;PRODUCTO;DISPONIBLE PARA;CATEGORIAS;UNIDAD MEDIDA;PORCENTAJE IVA;COD BARRA;COSTO;COSTO TOTAL;PROVEEDOR;STOCKEABLE;ACEPTA STOCK NEGATIVO;TIPO DE PRODUCTO;DESCRIPCION;ULTIMA ACT. COSTO;MONEDA
6982025040312;AURICULAR BLUETOOTH CAPYBARA + ESTUCHE JK609;TODOS;AUDIO > AURICULARES;UNIDAD;iva105;6982025040312;6697,00;6696,83;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
6152025042016;AURICULAR VINCHA RECARGABLES BT + CARTERA CAPIBARA CARPINCHO;TODOS;AUDIO > AURICULARES;UNIDAD;iva105;6152025042016;7355,00;7355,37;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
1702;HUMIFICADOR DIFUSOR RECARGABLE LED RGB PORTATIL ESENCIAS HMF-91074;TODOS;ACCESORIOS > DE AUTO;UNIDAD;iva21;1702;5455,00;5454,55;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
1703;HUMIDIFICADOR DIFUSOR PROYECTOR LED USB HMF-91062;TODOS;ACCESORIOS > DE AUTO;UNIDAD;iva21;1703;6529,00;6528,93;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
731299174348;RADIO SUONO 2 BANDAS AM/FM AYV0118;TODOS;RADIOS > PORTATILES;UNIDAD;iva21;731299174348;6030,00;6029,75;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
71068;SOPORTE PARA CELULAR PARA AUTO EN ESPEJO RETROVISOR NEGRO HD-71068;TODOS;ACCESORIOS > DE AUTO;UNIDAD;iva21;71068;1472,00;1471,90;IMPOTEKNO;S;S;SIMPLE;;10/11/2025;PESOS
2051;MONOPATIN DISEÑOS C/LUZ REFORZADO SV-4;TODOS;JUGUETERIA > JUGUETES;UNIDAD;iva21;2051;23313,22;23313,22;IMPOTEKNO;S;S;SIMPLE;;11/8/2025;PESOS
723540564404;BALANZA DE BAÑO PERSONAJES;TODOS;JUGUETERIA > JUGUETES;UNIDAD;iva21;723540564404;7540,00;7540,00;;S;S;SIMPLE;;11/8/2025;PESOS
83042;PROYECTOR ASTRONAUTA SENTADO CON GUITARRA;TODOS;JUGUETERIA > JUGUETES;UNIDAD;iva21;83042, 714604235903;9917,36;9917,36;DISTRIBUIDORA ORION, JOSE;S;S;SIMPLE;;15/8/2025;PESOS
CF248ACOMP;TONER GLOBAL HP CF248A CON CHIP;TODOS;INSUMOS DE IMPRESION > TONERS ALTERNATIVOS;UNIDAD;iva21;CF248ACOMP;8348,00;8348,00;JCK, JUAN;S;S;SIMPLE;;11/7/2025;PESOS
6935482113761;TONER ALTERNATIVO GNEISS HP W 105A SIN CHIP;TODOS;INSUMOS DE IMPRESION > TONERS ALTERNATIVOS;UNIDAD;iva21;6935482113761;6257,85;6257,85;TODOINSUMOS;S;S;SIMPLE;;30/5/2025;PESOS
198155192883;"NOTEBOOK LENOVO IP SLIM 3 15AMN8 15.6"" AMD R5-8GB+512GB W11H + MALETIN DE REGALO - SN: PF56ZXS2 - GTIA 12M";TODOS;COMPUTADORAS > NOTEBOOKS;UNIDAD;iva105;198155192883;626500,00;626500,00;;S;S;SIMPLE;;22/4/2025;PESOS
91163259251;TECLADO NUMERICO GENIUS NUMPAD 110 USB;TODOS;TECLADOS > USB ALAMBRICO;UNIDAD;iva105;091163259251, 4710268259251;8784,60;8784,60;TECNOPRICES;S;S;SIMPLE;;6/6/2025;PESOS
15046;FUENTE LNZ 550W XS550-PS +12V 32A 1X24PINES 1X4PINES 3XSATA 2XMOLEX;TODOS;ACCESORIOS > DE PC;UNIDAD;iva21;15046;15120,00;15120,00;TECNOPRICES;S;S;SIMPLE;;6/6/2025;PESOS
6920620009044;CARTUCHO GTC P/ EPSON T731 NEGRO 13ML;TODOS;INSUMOS DE IMPRESION > CARTUCHOS ALTERNATIVOS EPSON;UNIDAD;iva105;6920620009044;1620,00;1620,00;TECNOPRICES;S;S;SIMPLE;;6/6/2025;PESOS
6920620009068;CARTUCHO GTC P/ EPSON T732 CYAN 13ML;TODOS;INSUMOS DE IMPRESION > CARTUCHOS ALTERNATIVOS EPSON;UNIDAD;iva105;6920620009068;2688,00;2688,00;JCK, JUAN;S;S;SIMPLE;;27/6/2025;PESOS
4049;CARRY DISK 2.5 SATA USB 2.0 CABLE NEGRO;TODOS;ACCESORIOS > DE PC;UNIDAD;iva105;4049, 6936103601023;5921,49;5921,49;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7796728000998;CARTUCHO GTC HP 664XL NEGRO;TODOS;INSUMOS DE IMPRESION > CARTUCHOS ALTERNATIVOS HP;UNIDAD;iva105;7796728000998;14365,29;14365,29;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7796728001001;CARTUCHO GTC HP 664XL COLOR;TODOS;INSUMOS DE IMPRESION > CARTUCHOS ALTERNATIVOS HP;UNIDAD;iva105;7796728001001;15619,83;15619,83;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7908842833806;KIT TECLADO + MOUSE MULTILASER TC309 USB MOUSE 1200DPI CABLE 1.2MTS TECLADO 105 TECLAS CABLE 1.2MTS ESPANOL NEGRO;TODOS;TECLADOS > COMBOS;UNIDAD;iva105;7908842833806;4669,42;4669,42;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7908414459038;TECLADO MULTILASER GK-120 TC504 CON CABLE USB 1.5MTS CON SOPORTE PARA TELEFONO - ESPANOL - GAMER;TODOS;TECLADOS > GAMER;UNIDAD;iva105;7908414459038;4735,54;4735,54;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
7908414459052;TECLADO MULTILASER GK-500 CON CABLE USB 1.5MTS RAINBOW MECANICO SWITCH AZUL 26 TECLAS ANTI GHOSTING - ESPANOL - GAMER;TODOS;TECLADOS > GAMER;UNIDAD;iva105;7908414459052;15854,00;15853,72;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
1823;ADAPTADOR BLUETOOTH 5.0 USB EN BOLSA;TODOS;ACCESORIOS > DE PC;UNIDAD;iva105;1823;3322,31;3322,31;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
649528821553;DISCO SOLIDO SSD 1TB 2.5 SATA III CRUCIAL BX500;TODOS;ALMACENAMIENTO > DISCOS SOLIDOS;UNIDAD;iva105;649528821553;54916,53;54916,53;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
700306605205;CARRY DISK 2.5 SATA USB 2.0 NETMAK NM-CASE-2 CAJA PLASTICA - INCLUYE CABLE MINIUSB;TODOS;ACCESORIOS > DE PC;UNIDAD;iva105;700306605205;4132,23;4132,23;TECNOPRICES;S;S;SIMPLE;;20/3/2025;PESOS
11080904616010;CABEZAL 220V MODX-616 EXTREME  6,2A  1USB + 2TC  XAEA  BLANCO;TODOS;CARGADORES > DE PARED;UNIDAD;iva21;11080904616010;9669,42;9669,42;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1113080410406;CABLE USB LIGHTNING MODX-104 - ZEUS - XAEA - VERDE;TODOS;CABLES Y ADAPTADORES > LITGHTNING;UNIDAD;iva21;1113080410406;1694,21;1694,21;ONLY DISTRIBUIDORA;S;S;SIMPLE;;11/9/2025;PESOS
9018;TINTA GNEISS PARA BROTHER BRT50C 50ML CYAN;TODOS;INSUMOS DE IMPRESION > TINTAS ALTERNATIVAS BROTHER;UNIDAD;iva21;9018;1620,00;1619,83;TODOINSUMOS;S;S;SIMPLE;;9/10/2025;PESOS
9019;TINTA GNEISS PARA BROTHER BRT50M 50ML MAGENTA;TODOS;INSUMOS DE IMPRESION > TINTAS ALTERNATIVAS BROTHER;UNIDAD;iva21;9019;1620,00;1619,83;TODOINSUMOS;S;S;SIMPLE;;9/10/2025;PESOS
9020;TINTA GNEISS PARA BROTHER BRT50Y 50ML YELLOW;TODOS;INSUMOS DE IMPRESION > TINTAS ALTERNATIVAS BROTHER;UNIDAD;iva21;9020;1620,00;1619,83;TODOINSUMOS;S;S;SIMPLE;;9/10/2025;PESOS
GN664BXLNC;CARTUCHO GNEISS HP 664XL ALTERNATIVO BLACK;TODOS;INSUMOS DE IMPRESION > CARTUCHOS ALTERNATIVOS HP;UNIDAD;iva105;GN664BXLNC;20559,28;20559,28;TODOINSUMOS;S;S;SIMPLE;;9/10/2025;PESOS
GN667BXL;CARTUCHO GNEISS HP 667XL ALTERNATIVO BLACK;TODOS;INSUMOS DE IMPRESION > CARTUCHOS ALTERNATIVOS HP;UNIDAD;iva105;GN667BXL;18775,21;18775,21;TODOINSUMOS;S;S;SIMPLE;;9/10/2025;PESOS
2135;TPU MAGFASE COLOR CELULAR;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2135;0,00;0,00;;S;S;SIMPLE;;;PESOS
2136;TPU MAGFASE COLOR IPHONE;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2136;4800,00;4800,00;DYD;S;S;SIMPLE;;10/4/2025;PESOS
2137;TPU MAGFASE TORNASOLADA CELULAR;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2137;0,00;0,00;;S;S;SIMPLE;;;PESOS
2138;TPU MAGFASE TORNASOLADA IPHONE;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2138;3500,00;3500,00;DYD;S;S;SIMPLE;;9/4/2025;PESOS
2222;LAMINA DE HIDROGEL PARA CELULAR;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2222;1200,00;1200,00;;S;S;SIMPLE;;30/4/2025;PESOS
2140;TPU TRANSPARENTE CRISTAL XAEA CELULAR;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2140;2575,00;2575,00;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/4/2025;PESOS
2223;LAMINA DE HIDROGEL PARA TABLET;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2223;1700,00;1700,00;;S;S;SIMPLE;;30/4/2025;PESOS
2224;LAMINA DE HIDROGEL PARA SMARTWATCH;TODOS;ACCESORIOS > DE CELULARES;UNIDAD;iva21;2224;1200,00;1200,00;;S;S;SIMPLE;;30/4/2025;PESOS
1113090410341;CABLE USB TIPO C MODX-103 - ZEUS - XAEA - MARRON;TODOS;CABLES Y ADAPTADORES > TIPO C;UNIDAD;iva21;1113090410341;1735,54;1735,54;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1145029477302;SMARTWATCH WATCH 4 PRO - NEGRO;TODOS;RELOJES SMART > SMARTWATCH;UNIDAD;iva21;1145029477302;13214,88;13214,88;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1124110197796;MOUSE PAD ONLY - MODO-977 - DISEÑOS VARIOS;TODOS;ACCESORIOS > DE PC;UNIDAD;iva21;1124110197796, 1124110197798, 1124110197797, 1124110197795, 1124110197799;1711,00;1710,74;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1113090410104;CABLE USB TIPO C MODX-101 - HERA - XAEA - AZUL;TODOS;CABLES Y ADAPTADORES > TIPO C;UNIDAD;iva21;1113090410104;1917,36;1917,36;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1126010410702;PARLANTE 3 MODX-107 - XAEA - NEGRO;TODOS;AUDIO > PARLANTES;UNIDAD;iva21;1126010410702;7133,06;7133,06;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1126010410704;PARLANTE 3 MODX-107 - XAEA - AZUL;TODOS;AUDIO > PARLANTES;UNIDAD;iva21;1126010410704;7133,06;7133,06;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1126010410708;PARLANTE 3 MODX-107 - XAEA - VIOLETA;TODOS;AUDIO > PARLANTES;UNIDAD;iva21;1126010410708;7133,06;7133,06;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1104010170602;AURICULAR BT MODO-706 CROWS - ONLY - NEGRO;TODOS;AUDIO > AURICULARES;UNIDAD;iva21;1104010170602;5719,01;5719,01;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1113070112801;CABLE USB TIPO C MODO-128 LAIT - ONLY - BLANCO;TODOS;CABLES Y ADAPTADORES > TIPO C;UNIDAD;iva21;1113070112801;859,50;859,50;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
1113090114101;CABLE TIPO C A TIPO C MODO141 SYNC-C  ONLY  BLANCO;TODOS;CABLES Y ADAPTADORES > TIPO C;UNIDAD;iva21;1113090114101;1008,26;1008,26;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
1113090410310;CABLE USB TIPO C MODX-103 - ZEUS - XAEA - PLATEADO;TODOS;CABLES Y ADAPTADORES > TIPO C;UNIDAD;iva21;1113090410310;1578,51;1578,51;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
1304007;CABLE HDMI FULL HD GOMA 3M;TODOS;CABLES Y ADAPTADORES > HDMI;UNIDAD;iva21;1304007;2016,53;2016,53;ONLY DISTRIBUIDORA;S;S;SIMPLE;;10/9/2025;PESOS
