CODIGO;PRODUCTO;CATEGORIAS;RUBRO;SUB RUBRO;PORCENTAJE IVA;COD BARRA;COSTO;COSTO TOTAL;PROVEEDOR;STOCKEABLE;ACEPTA STOCK NEGATIVO;TIPO DE PRODUCTO;DESCRIPCION;ULTIMA ACT. COSTO;MONEDA
6954774700236;AURICULAR BLUETOOTH MOD700 KIDS – CON OREJAS Y LUCES – ROSA;;AUDIO;AURICULARES;21;6954774700236;7768,6;7768,6;ONLY DISTRIBUIDORA;S;S;SIMPLE;;11/4/2025;PESOS
7798383572704;CABLE SOUL USB A LIGHTNING 2.4A 1M;;CABLES Y ADAPTADORES;LITGHTNING;21;7798383572704;2645;2645;SIN PROVEEDOR;S;S;SIMPLE;;12/9/2025;PESOS
6935364088064;ANTENA MERCUSYS ADAPTADOR WIFI USB PLACA DE RED AC650 DUAL BAND;;CONECTIVIDAD;ADAPTADOR WIFI USB;10,5;6935364088064;11270;11270;TECNOPRICES;S;S;SIMPLE;;25/3/2025;PESOS
20525;CARGADOR TABLET 5V 1A 2.5X0.7MM PIN FINO TITAN EURO COBY ALTERNATIVO PATAS RECTAS;;CARGADORES;DE PARED;21;20525;5000;5000;TECNOPRICES;S;S;SIMPLE;;11/11/2025;PESOS
6908648002094;PARLANTE DE DUCHA BLUETOOTH;;AUDIO;PARLANTES;10,5;6908648002094;4545;4545,45;DISTRIBUIDORA ORION, JOSE;S;S;SIMPLE;;14/10/2025;PESOS
7798137725882;AURICULARES NOGA WIRELESS BT STEREO EARBUDS TACTIL BTWINS 50 BLANCO;;AUDIO;AURICULARES;10,5;7798137725882;9008;9008,26;DISTRIBUIDORA ORION, JOSE;S;S;SIMPLE;;14/10/2025;PESOS
7798137725875;AURICULARES NOGA WIRELESS BT STEREO EARBUDS TACTIL BTWINS 50 NEGRO;;AUDIO;AURICULARES;10,5;7798137725875;9008;9008,26;DISTRIBUIDORA ORION, JOSE;S;S;SIMPLE;;14/10/2025;PESOS
6933863822097;AURICULARES BT VINCHA C-2235;;AUDIO;AURICULARES;10,5;6933863822097;11488;11487,6;DISTRIBUIDORA ORION, JOSE;S;S;SIMPLE;;14/10/2025;PESOS
3001;PARLANTE PORTATIL BLUETOOTH J-IPOK P171 INALAMBRICO;;AUDIO;PARLANTES;21;3001;10744;10743,8;DISTRIBUIDORA ORION, JOSE;S;S;SIMPLE;;14/10/2025;PESOS
6950676214789;PADMOUSE GAMER HAVIT GAMENOTE HV-MP861 DE GOMA XL 30CM X 70;;ACCESORIOS;DE PC;21;6950676214789;5372;5371,9;DISTRIBUIDORA ORION, JOSE;S;S;SIMPLE;;14/10/2025;PESOS
11082408721010;POWER BANK 5000 MAH “VOLTRIX” – XAEA 25W;;CARGADORES;POWER BANK;21;11082408721010;7678;7677,69;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
7798137723512;PLACA DE SONIDO USB NOGANET HE-282 7.1;;ACCESORIOS;DE NOTEBOOKS;10,5;7798137723512;3223,8;3223,8;TECNOPRICES;S;S;SIMPLE;;6/6/2025;PESOS
08OT04000R002;PARLANTE GAMER C/MAG SAFE “MINI BLAST” – XAEA – NEGRO;;AUDIO;PARLANTES;21;08OT04000R002;5430;5429,75;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
094G04000J002;CARGADOR INALAMBRICO/HOLDER MAGNETICO MOD-HT555 – NEGRO;;ACCESORIOS;DE AUTO;21;094G04000J002;14281;14280,99;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
1145029477402;SMART WATCH MODS-774 – SU 30 – NEGRO;;RELOJES SMART;SMARTWATCH;10,5;1145029477402;14036;14036,2;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
1145029477420;SMART WATCH MODS-774 – SU 30 – PLATEADO;;RELOJES SMART;SMARTWATCH;10,5;1145029477420;14036;14036,2;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
1145029477405;SMART WATCH MODS-774 – SU 30 – ROSA;;RELOJES SMART;SMARTWATCH;10,5;1145029477405;14036;14036,2;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
1145029475910;SMART WATCH GT4 – MOD-759 – PLATEADO;;RELOJES SMART;SMARTWATCH;10,5;1145029475910;14950;14950,41;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
1104010170601;"AURICULAR BLUETOOTH MOD.706 ""CROWS"" - XAEA - VERDE";;AUDIO;AURICULARES;21;1104010170601;5909;5909,09;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
7798137382757;JOYSTICK NOGANET NG-3004 PS2 NEGRO;;CONSOLAS;JOYSTICKS;21;7798137382757;9865,8;9865,8;TECNOPRICES;S;S;SIMPLE;;6/6/2025;PESOS
1126010410002;PARLANTE 2” MODX-100 – “FISSION” – XAEA – NEGRO;;AUDIO;PARLANTES;21;1126010410002;3669;3669,42;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
08OT04000P002;PARLANTE DOBLE “DUAL STORM” – XAEA;;AUDIO;PARLANTES;21;08OT04000P002;13636;13636,36;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
3076;PARLANTE 3 PULGADAS “GLOBE” – XAEA;;AUDIO;PARLANTES;21;3076;6810;6809,92;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
11081604511010;CARGADOR INALAMBRICO Y LAMPARA DE ESCRITORIO “FLEXA” – BLANCO;;ACCESORIOS;DE CELULARES;21;11081604511010;9851;9851,24;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
11081604511020;CARGADOR INALAMBRICO Y LAMPARA DE ESCRITORIO “FLEXA” – NEGRO;;ACCESORIOS;DE CELULARES;21;11081604511020;9851;9851,24;ONLY DISTRIBUIDORA;S;S;SIMPLE;;27/10/2025;PESOS
6920620009389;CARTUCHO GTC EPSON T296 CYAN;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;10,5;6920620009389;3145;3144,91;TECNOPRICES;S;S;SIMPLE;;12/11/2025;PESOS
6920620044007;CARTUCHO GTC EPSON T296 AMARILLO;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;10,5;6920620044007;3145;3144,91;TECNOPRICES;S;S;SIMPLE;;12/11/2025;PESOS
6920620009075;CARTUCHO GTC P/ EPSON T733 MAGENTA 13ML;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;10,5;6920620009075;1937,93;1937,93;TECNOPRICES;S;S;SIMPLE;;12/11/2025;PESOS
6920620009396;CARTUCHO GTC EPSON T296 MAGENTA;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;10,5;6920620009396;3145;3144,91;TECNOPRICES;S;S;SIMPLE;;12/11/2025;PESOS
6926474634715;CARTUCHO GTC EPSON T197 NEGRO;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;10,5;6926474634715;2153;2153;TECNOPRICES;S;S;SIMPLE;;12/11/2025;PESOS
6920620009372;CARTUCHO GTC EPSON T297 NEGRO;;INSUMOS DE IMPRESION;CARTUCHOS ALTERNATIVOS EPSON;10,5;6920620009372;3145;3144,91;TECNOPRICES;S;S;SIMPLE;;12/11/2025;PESOS
7798026132012;BATERIA EXTERNA POWERBANK TRV BBP102 10000MAH 2XUSB 2.1A INDICADOR NIVEL DE BATERIA BLANCO ION/LITIO;;CARGADORES;POWER BANK;21;7798026132012;12852,89;12852,89;TECNOPRICES;S;S;SIMPLE;;9/5/2025;PESOS
